	Unnamed: 0	basename	author	title	genre	subgenre	placeName	occurrences	coord	long	lat	prediction
0	0	PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Paris	2	48.85341, 2.3488	48.85341	2.3488	0
1	1	PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Paris	2	48.85341, 2.3488	48.85341	2.3488	0
2	2	PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Perse	1	32, 53	32.0	53.0	1
3	3	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Athènes	1	37.9728191495, 23.7237438519	37.9728191495	23.7237438519	1
4	4	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133	41.89193	12.51133	1
5	5	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133	41.89193	12.51133	1
6	6	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Tolède	1	39.8581, -4.02263	39.8581	-4.02263	0
7	7	DANCOURT_FONDSPERDUS	DANCOURT, Florent CARTON dit	LES FONDS PERDUS, COMÉDIE EN TROIS ACTES	theatre	comedy	Paris	1	48.85341, 2.3488	48.85341	2.3488	0
8	8	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Crète	3	35.0627201667, 24.9469437222	35.0627201667	24.9469437222	1
9	9	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Crète	3	35.0627201667, 24.9469437222	35.0627201667	24.9469437222	1
10	10	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Crète	3	35.0627201667, 24.9469437222	35.0627201667	24.9469437222	1
11	11	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
12	12	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
13	13	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
14	14	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
15	15	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
16	16	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
17	17	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
18	18	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
19	19	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
20	20	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
21	21	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
22	22	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22	39.0	22.0	1
23	23	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Olympe	1	40.085556, 22.358611	40.085556	22.358611	0
24	24	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Paris	2	48.85341, 2.3488	48.85341	2.3488	0
25	25	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Paris	2	48.85341, 2.3488	48.85341	2.3488	0
26	26	VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Angleterre	2	52.16045, -0.70312	52.16045	-0.70312	1
27	27	VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Angleterre	2	52.16045, -0.70312	52.16045	-0.70312	1
28	28	VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Égypte	1	27, 30	27.0	30.0	1
29	29	VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	France	1	46, 2	46.0	2.0	0
30	30	VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Paris	1	48.85341, 2.3488	48.85341	2.3488	0
31	31	MONSELET_RHUMATISME	MONSELET, Charles	LE RHUMATISME, MONOLOGUE.	theatre	comedy	France	1	46, 2	46.0	2.0	0
32	32	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Achéron	1	39.2348296, 20.4831346	39.2348296	20.4831346	1
33	33	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Afrique	1	32.5, 7.5	32.5	7.5	1
34	34	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Angleterre	1	52.16045, -0.70312	52.16045	-0.70312	1
35	35	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Asie	1	29.84064, 89.29688	29.84064	89.29688	1
36	36	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Averne	1	40.838333, 14.075	40.838333	14.075	0
37	37	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Babylone	1	32.5387834636, 44.4236176449	32.5387834636	44.4236176449	1
38	38	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Byzance	1	41.005902, 28.9738815	41.005902	28.9738815	1
39	39	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Chaldée	1	40.5, 39.5	40.5	39.5	1
40	40	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Danube	1	45.33333, 29.66667	45.33333	29.66667	1
41	41	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Espagne	2	40, -4	40.0	-4.0	0
