	basename	author	title	genre	subgenre	placeName	occurrences	coord
0	PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Paris	2	48.85341, 2.3488
1	PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Perse	1	32, 53
2	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Athènes	1	37.9728191495, 23.7237438519
3	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
4	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
5	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Tolède	1	39.8581, -4.02263
6	DANCOURT_FONDSPERDUS	DANCOURT, Florent CARTON dit	LES FONDS PERDUS, COMÉDIE EN TROIS ACTES	theatre	comedy	Paris	1	48.85341, 2.3488
7	BOYER_FEDERIC	Claude BOYER (1618-1698)	FÉDÉRIC, TRAGI-COMÉDIE	theatre	tragicomedy	Aragon	2	41.5, -0.66667
8	BOYER_FEDERIC	Claude BOYER (1618-1698)	FÉDÉRIC, TRAGI-COMÉDIE	theatre	tragicomedy	Europe	1	48.69096, 9.14062
9	BOYER_FEDERIC	Claude BOYER (1618-1698)	FÉDÉRIC, TRAGI-COMÉDIE	theatre	tragicomedy	Léon	1	42.66667, -6
10	BOYER_FEDERIC	Claude BOYER (1618-1698)	FÉDÉRIC, TRAGI-COMÉDIE	theatre	tragicomedy	Messine	1	38.19394, 15.55256
11	BOYER_FEDERIC	Claude BOYER (1618-1698)	FÉDÉRIC, TRAGI-COMÉDIE	theatre	tragicomedy	Naples	12	40.85216, 14.26811
