code	author	title	genre	subgenre	place
PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Paris	2
PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Paris	2
PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Perse	1
QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Athènes	1
QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1
QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1
QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Tolède	1
DANCOURT_FONDSPERDUS	DANCOURT, Florent CARTON dit	LES FONDS PERDUS, COMÉDIE EN TROIS ACTES	theatre	comedy	Paris	1
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Crète	3
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Crète	3
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Crète	3
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Olympe	1
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Paris	2
LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Paris	2
VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Angleterre	2
VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Angleterre	2
VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Égypte	1
VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	France	1
VERCONSIN_RETOURDEBRUXELLES	VERCONSIN, Eugène (1862-1921)	RETOUR DE BRUXELLES, COMÉDIE	theatre	comedy	Paris	1
MONSELET_RHUMATISME	MONSELET, Charles	LE RHUMATISME, MONOLOGUE.	theatre	comedy	France	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Achéron	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Afrique	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Angleterre	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Asie	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Averne	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Babylone	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Byzance	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Chaldée	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Danube	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Espagne	2
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Espagne	2
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Euphrate	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Europe	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Grèce	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Inde	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Italie	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Léon	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mexique	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Moscovie	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mycènes	1
GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11
