	basename	author	title	genre	subgenre	placeName	occurrences	coord
0	PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Paris	2	48.85341, 2.3488
1	PRADE_ARSACE	PRADE, Jean Le Royer de	ARSACE, ROI DES PARTHES, TRAGÉDIE.	theatre	tragedy	Perse	1	32, 53
2	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Athènes	1	37.9728191495, 23.7237438519
3	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
4	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133
5	QUINAULT_DOCTEURDEVERRE	Philippe QUINAULT (1635-1688)	LE DOCTEUR DE VERRE, COMÉDIE	theatre	comedy	Tolède	1	39.8581, -4.02263
6	DANCOURT_FONDSPERDUS	DANCOURT, Florent CARTON dit	LES FONDS PERDUS, COMÉDIE EN TROIS ACTES	theatre	comedy	Paris	1	48.85341, 2.3488
7	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Crète	3	35.0627201667, 24.9469437222
8	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Grèce	12	39, 22
9	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Olympe	1	40.085556, 22.358611
10	LAGRANGECHANCEL_MELEAGRE	LA GRANGE CHANCEL, François-Joseph	MÉLÉAGRE, TRAGÉDIE	theatre	tragedy	Paris	2	48.85341, 2.3488
